Date;Open;High;Low;Close;Volume
11/22/2019;9.9;9.9;9.9;9.9;0
11/21/2019;9.9;9.9;9.9;9.9;0
11/20/2019;9.9;9.9;9.9;9.9;0
11/19/2019;9.9;9.9;9.9;9.9;0
11/18/2019;9.9;9.9;9.9;9.9;0
11/15/2019;9.9;9.9;9.9;9.9;0
11/14/2019;9.9;9.9;9.9;9.9;0
11/13/2019;9.9;9.9;9.9;9.9;0
11/12/2019;9.75;9.9;9.75;9.9;2,880
11/11/2019;9.8;9.8;9.8;9.8;0
11/08/2019;9.8;9.8;9.8;9.8;130
11/07/2019;9.95;9.95;9.95;9.95;0
11/06/2019;9.95;9.95;9.95;9.95;0
11/05/2019;9.95;9.95;9.95;9.95;0
11/04/2019;9.95;9.99;9.95;9.95;4,986
11/01/2019;9.81;9.81;9.81;9.81;140
10/31/2019;9.94;9.94;9.94;9.94;242
10/30/2019;10.13;10.13;10.13;10.13;0
10/29/2019;10.05;10.13;10.05;10.13;8,634
10/28/2019;10.19;10.19;10.19;10.19;112
10/25/2019;9.67;9.67;9.67;9.67;0
10/24/2019;9.67;9.67;9.67;9.67;0
10/23/2019;9.67;9.67;9.67;9.67;1,500
10/22/2019;9.6;9.6;9.6;9.6;0
10/21/2019;9.6;9.6;9.6;9.6;0
10/18/2019;9.6;9.6;9.6;9.6;0
10/17/2019;9.64;9.64;9.6;9.6;1,653
10/16/2019;9.4381;9.4381;9.4381;9.4381;0
10/15/2019;9.4381;9.4381;9.4381;9.4381;1,251,905
10/14/2019;9.25;9.35;9.25;9.3;1,052
10/11/2019;9.49;9.55;9.49;9.55;1,135
10/10/2019;9.26;9.26;9.12;9.12;449
10/09/2019;8.955;8.955;8.955;8.955;0
10/08/2019;8.955;8.955;8.955;8.955;0
10/07/2019;8.955;8.955;8.955;8.955;0
10/04/2019;8.955;8.955;8.955;8.955;150
10/03/2019;8.95;8.951;8.95;8.951;1,104
10/02/2019;9.1065;9.1065;9;9;26,487
10/01/2019;9.12;9.12;9.12;9.12;0
09/30/2019;9.12;9.12;9.12;9.12;0
09/27/2019;9.12;9.12;9.12;9.12;0
09/26/2019;9.12;9.12;9.12;9.12;0
09/25/2019;9.12;9.12;9.12;9.12;131
09/24/2019;9.2;9.2;9.2;9.2;132
09/23/2019;9.55;9.55;9.55;9.55;0
09/20/2019;9.55;9.55;9.55;9.55;0
09/19/2019;9.55;9.55;9.55;9.55;0
09/18/2019;9.55;9.55;9.55;9.55;100
09/17/2019;9.88;9.88;9.88;9.88;0
09/16/2019;9.88;9.88;9.88;9.88;510
09/13/2019;9.65;9.65;9.65;9.65;0
09/12/2019;9.65;9.65;9.65;9.65;153
09/11/2019;9.25;9.25;9.25;9.25;0
09/10/2019;9.25;9.25;9.25;9.25;0
09/09/2019;9.25;9.25;9.25;9.25;988
09/06/2019;9.2;9.2;9.1;9.1;2,100
09/05/2019;8.95;8.95;8.95;8.95;179
09/04/2019;8.6501;8.6501;8.6501;8.6501;124
09/03/2019;8.6;8.6;8.6;8.6;1,000
08/30/2019;8.7;8.7;8.7;8.7;0
08/29/2019;8.69;8.7;8.69;8.7;295
08/28/2019;8.7;8.7;8.7;8.7;0
08/27/2019;8.7;8.7;8.7;8.7;100
08/26/2019;8.6;8.6;8.52;8.52;378
08/23/2019;8.55;8.8357;8.45;8.8357;4,796
08/22/2019;8.7;8.7;8.7;8.7;0
08/21/2019;8.7;8.7;8.7;8.7;0
08/20/2019;8.7;8.7;8.7;8.7;4,174
08/19/2019;8.75;8.75;8.75;8.75;146
08/16/2019;8.9;8.9;8.9;8.9;0
08/15/2019;8.9;8.9;8.9;8.9;0
08/14/2019;8.9;8.9;8.9;8.9;0
08/13/2019;8.9;8.9;8.9;8.9;0
08/12/2019;8.9;8.9;8.9;8.9;250
08/09/2019;9;9;9;9;115
08/08/2019;9.0508;9.0508;9.0508;9.0508;3,948
08/07/2019;8.8001;8.8001;8.8001;8.8001;0
08/06/2019;8.85;8.9;8.8001;8.8001;6,884
08/05/2019;9;9;9;9;0
08/02/2019;9;9;9;9;0
08/01/2019;9;9;9;9;1,275
07/31/2019;9.4;9.4;9.4;9.4;0
